"id","bsalary","gender","time","age","csalary","educlvl","work","jobcat","ethnic"
628,8400,"Male",81,28.5,16080,16,0.25,"College Trainee","White"
630,24000,"Male",73,40.33,41400,16,12.5,"Exempt Employee","White"
632,10200,"Male",83,31.08,21960,15,4.08,"Exempt Employee","White"
633,8700,"Male",93,31.17,19200,16,1.83,"College Trainee","White"
635,17400,"Male",83,41.92,28350,19,13,"Exempt Employee","White"
637,12996,"Male",80,29.5,27250,18,2.42,"College Trainee","White"
641,6900,"Male",79,28,16080,15,3.17,"Clerical","White"
649,5400,"Male",67,28.75,14100,15,0.5,"Clerical","White"
650,5040,"Male",96,27.42,12420,15,1.17,"Clerical","White"
652,6300,"Male",77,52.92,12300,12,26.42,"Security Officer","White"
653,6300,"Male",84,33.5,15720,15,6,"Clerical","White"
656,6000,"Male",88,54.33,8880,12,27,"Clerical","White"
657,10500,"Male",93,32.33,22000,17,2.67,"College Trainee","White"
658,10800,"Male",98,41.17,22800,15,12,"Exempt Employee","White"
659,13200,"Male",64,31.92,19020,19,2.25,"Exempt Employee","White"
660,5640,"Male",94,46.25,12300,12,20,"Security Officer","White"
669,13500,"Male",81,30.75,22200,19,5.17,"College Trainee","White"
671,6900,"Male",72,32.67,10380,15,6.92,"Clerical","White"
683,6300,"Male",70,58.5,8520,15,31,"Clerical","White"
685,11004,"Male",89,34.17,27500,17,3.17,"College Trainee","White"
690,7200,"Male",79,46.58,11460,15,21.75,"Clerical","White"
696,10992,"Male",83,35.17,20500,16,5.75,"Exempt Employee","White"
697,16992,"Male",85,43.25,27700,20,11.17,"Technical","White"
702,8700,"Male",65,28,28000,16,1.58,"College Trainee","White"
704,13992,"Male",65,39.75,22000,19,10.75,"Exempt Employee","White"
706,12804,"Male",78,30.08,27250,19,2.92,"College Trainee","White"
707,13992,"Male",83,30.17,27000,17,0.75,"Exempt Employee","White"
708,6600,"Male",70,44.5,9000,12,18,"Office Trainee","White"
709,10992,"Male",91,30.17,31300,18,3.92,"College Trainee","White"
712,6300,"Male",70,26.83,11760,15,1.25,"Office Trainee","White"
715,6000,"Male",84,29.58,15540,15,4.42,"Clerical","White"
717,12996,"Male",75,41.17,22000,18,10.42,"Exempt Employee","White"
719,12996,"Male",68,28.83,24000,17,1.42,"MBA Trainee","White"
722,5880,"Male",70,27.83,10980,12,3.42,"Office Trainee","White"
726,13200,"Male",78,32.92,29400,19,3.75,"College Trainee","White"
734,5400,"Male",97,31.92,10920,12,5.5,"Clerical","White"
735,10992,"Male",96,39.33,24150,19,8,"College Trainee","White"
736,6600,"Male",94,36,13920,15,7.75,"Office Trainee","White"
739,6300,"Male",78,63.75,12300,8,35.75,"Security Officer","White"
740,7800,"Male",83,38.42,11736,12,12.5,"Clerical","White"
745,5700,"Male",96,30.33,13020,15,3.58,"Office Trainee","White"
751,6600,"Male",95,33.75,14040,15,7.5,"Clerical","White"
756,10200,"Male",78,35.42,16020,15,11.08,"Exempt Employee","White"
757,7500,"Male",98,35.67,16080,16,3,"Clerical","White"
759,8400,"Male",93,30.67,21250,16,4,"College Trainee","White"
760,7800,"Male",78,28.33,16140,16,1.67,"Clerical","White"
761,6000,"Male",84,63.42,12300,8,31.67,"Security Officer","White"
764,8160,"Male",84,29.5,15000,15,2.75,"Clerical","White"
765,6000,"Male",87,31.5,11040,12,6.25,"Office Trainee","White"
766,10992,"Male",90,34.33,21950,16,5.67,"College Trainee","White"
767,5700,"Male",65,25,11400,15,1.67,"Clerical","White"
769,9492,"Male",94,34,24000,16,4.92,"College Trainee","White"
771,6000,"Male",72,28.17,11340,15,4,"Office Trainee","White"
777,9492,"Male",78,38.92,15480,15,14.67,"Exempt Employee","White"
778,18000,"Male",66,34.25,34500,18,4.17,"Technical","White"
779,31992,"Male",96,49.58,54000,19,16.58,"Technical","White"
782,6300,"Male",82,29.75,12060,15,6,"Clerical","White"
783,11100,"Male",82,44.42,13848,16,12.42,"Clerical","White"
785,6300,"Male",68,28.67,12120,15,4.58,"Office Trainee","White"
786,6300,"Male",82,29.5,32000,15,2.83,"Office Trainee","White"
787,6000,"Male",81,30.67,10620,15,4.33,"Office Trainee","White"
791,6300,"Male",69,63.58,12000,12,29,"Security Officer","White"
797,13200,"Male",68,29.5,24500,19,0.75,"Exempt Employee","White"
801,6000,"Male",67,26.25,15120,15,3,"Clerical","White"
802,6000,"Male",97,29.5,16320,12,2,"Clerical","White"
806,7800,"Male",68,31.25,14400,19,1.75,"Clerical","White"
808,18996,"Male",86,42.42,26400,16,12.5,"Exempt Employee","White"
812,6300,"Male",67,28.75,12480,15,3.83,"Office Trainee","White"
816,6000,"Male",71,26.83,11220,14,1.25,"Office Trainee","White"
821,6600,"Male",79,30.33,11100,15,4.58,"Office Trainee","White"
822,5820,"Male",93,29.17,8760,8,3.42,"Clerical","White"
827,6000,"Male",66,29.25,12300,12,4.67,"Clerical","White"
829,6300,"Male",66,27.42,13416,12,3.92,"Office Trainee","White"
830,6600,"Male",83,31,15840,15,3.92,"Clerical","White"
836,6000,"Male",83,29.08,11640,12,4.17,"Clerical","White"
837,12000,"Male",93,31.67,31250,19,0.58,"College Trainee","White"
838,12000,"Male",89,35.58,23750,20,0.5,"Exempt Employee","White"
842,6840,"Male",92,31.17,10380,15,3.5,"Clerical","White"
843,6300,"Male",92,32.5,12660,15,5.33,"Office Trainee","White"
844,6600,"Male",64,31.92,13560,12,8.83,"Office Trainee","White"
850,6600,"Male",83,33.08,13260,15,5.75,"Office Trainee","White"
856,6600,"Male",67,29.92,11760,15,5.67,"Clerical","White"
857,7200,"Male",65,41,11520,12,17.5,"Office Trainee","White"
859,8700,"Male",84,30.25,23500,16,1.08,"College Trainee","White"
860,12300,"Male",78,29.75,26000,17,2.17,"College Trainee","White"
861,6300,"Male",80,61.67,12240,12,38.33,"Security Officer","White"
867,6000,"Male",85,58.08,12780,8,36.5,"Security Officer","White"
868,6000,"Male",94,31.25,14220,12,4,"Clerical","White"
870,9000,"Male",91,33.75,24250,16,3.67,"College Trainee","White"
872,8796,"Male",76,32.67,19500,16,5.08,"College Trainee","White"
